Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,Officer_ID,Issuing_Agency,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Previous_Violations,Comments,Hour,Age_Group,Over_Speeding,Speed_Diff,Day,Repeat_Offender,Month
VLT100000,Overloading,4544,Karnataka,2023-01-01,1900-01-01 23:02:00,Car,Red,2012,West Bengal,25,Male,Commercial,5,Cloudy,Slippery,OFF9971,Local Police,Valid,4,,Yes,Green,100,95,0.03,Negative,Yes,No,Online,Yes,3,Repeat Offender,23,18-25,False,-5,Sunday,True,2023-01
VLT100001,Driving Without License,2776,Punjab,2023-01-02,1900-01-01 00:42:00,Scooter,Silver,2010,Tamil Nadu,32,Female,Commercial,4,Rainy,Dry,OFF6000,Highway Patrol,Valid,4,,No,Green,40,48,0.45,Negative,Yes,Yes,Online,No,2,Repeat Offender,0,26-35,True,8,Monday,True,2023-01
VLT100002,Using Mobile Phone,4785,Maharashtra,2023-01-03,1900-01-01 04:32:00,Scooter,Grey,2006,Tamil Nadu,67,Female,Two-Wheeler,8,Clear,Potholes,OFF5706,Local Police,Valid,5,Yes,Yes,Yellow,80,26,0.31,Not Conducted,No,No,Not Paid,Yes,4,,4,60+,False,-54,Tuesday,True,2023-01
VLT100003,No Seatbelt,1138,Uttar Pradesh,2023-01-04,1900-01-01 15:06:00,Car,Green,1996,Uttar Pradesh,46,Male,Learner,3,Rainy,Wet,OFF5575,Highway Patrol,Valid,2,No,No,Green,100,115,0.09,Not Conducted,No,Yes,Online,No,5,Repeat Offender,15,46-60,True,15,Wednesday,True,2023-01
VLT100004,Over-speeding,1610,Karnataka,2023-01-05,1900-01-01 06:57:00,Truck,Yellow,2016,Delhi,63,Female,Four-Wheeler,4,Foggy,Potholes,OFF7147,Traffic Police,Valid,4,,No,Red,30,115,0.28,Positive,No,Yes,Cash,Yes,0,,6,60+,True,85,Thursday,False,2023-01
VLT100005,Over-speeding,4636,Maharashtra,2023-01-06,1900-01-01 16:36:00,Bus,White,2013,Gujarat,33,Male,Commercial,2,Rainy,Dry,OFF2122,RTO,Valid,5,Yes,,Green,100,87,0.17,Negative,Yes,No,Card,No,3,Fine Paid On Spot,16,26-35,False,-13,Friday,True,2023-01
VLT100006,Wrong Parking,2793,West Bengal,2023-01-07,1900-01-01 02:03:00,Scooter,Silver,2018,Delhi,42,Other,Learner,0,Dust Storm,Dry,OFF6500,Local Police,Valid,2,,,Green,30,24,0.5,Not Conducted,Yes,Yes,Cash,Yes,1,,2,36-45,False,-6,Saturday,True,2023-01
VLT100007,Over-speeding,3965,Delhi,2023-01-08,1900-01-01 16:23:00,Truck,Yellow,2009,Punjab,28,Male,Four-Wheeler,2,Clear,Under Construction,OFF1220,Local Police,Valid,2,,No,Green,60,119,0.19,Positive,No,No,Not Paid,No,2,Fine Paid On Spot,16,26-35,True,59,Sunday,True,2023-01
VLT100008,No Seatbelt,4497,Uttar Pradesh,2023-01-09,1900-01-01 18:09:00,Bus,Green,2021,Maharashtra,34,Female,Heavy Vehicle,9,Foggy,Wet,OFF8579,RTO,Expired,3,Yes,,Green,80,36,0.28,Negative,No,No,Cash,No,4,First Violation,18,26-35,False,-44,Monday,True,2023-01
VLT100009,Using Mobile Phone,374,West Bengal,2023-01-10,1900-01-01 17:01:00,Car,Red,1997,Uttar Pradesh,75,Other,Commercial,0,Clear,Dry,OFF7351,Local Police,Expired,5,No,Yes,Red,30,114,0.48,Not Conducted,Yes,Yes,Not Paid,No,2,Repeat Offender,17,60+,True,84,Tuesday,True,2023-01
